region,permit_number,action,request_date,requester,cause,cause_detail,place,street,street_number,block,parcel,from_date,to_date,appeal_by_date,approved_by,approver_role,family,species,number_of_trees,notes
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אורניים,אורן הצנובר,10,עם ירושלים בפוליגון משתוף
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אורניים,אורן הצנובר,3,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אורניים,אורן ירושלים,10,עם הצנובר בפוליגון משותף
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אורניים,אורן ירושלים,238,2 עצים מתים
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אלתיים,אלה אטלנטית,3,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אלוניים,אלון התבור,1,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אלוניים,אלון מצוי,6,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,ברושיים,ברוש מצוי,67,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,כליליים,חרוב מצוי,5,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,ורדיים,עוזרר קוצני,2,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,אלתיים,פלפלון בכות,1,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,שיטיים,שיטה כחלחלה,3,
פקיד יערות ארצי – פרויקטי תשתית לאומיים,16,כריתה,2021-02-09,חב' מקורות,בניה,הקמת קו המחבר מבריכת המורים לקו השלישי באזור מבשרת ציון,אחר,,,"29956, 30465, 30484, 30486, 30487, 30489, 34489, 3",,2021-02-23,2024-02-23,2021-02-22,מיכל מזוז,פקיד יערות לפרויקטים לאומיים,ורדיים,שקד מצוי,5,
